,rmse,mae,max_err,coalition_evals,model_evals,simultaneous_coverage,marginal_coverage
GAS-BayesSHAP (certified),0.0008616274475724153,0.0005058451838559794,0.002525313567601939,989.0,63169.0,1.0,1.0
KernelSHAP,0.005448925476831804,0.004981598970362342,0.00780537172950135,128,8192,-,-
SamplingSHAP (MC),0.03615184291557998,0.012694372900308448,0.1195079433048788,1045,66187,-,-
Exact (ground truth),0.0,0.0,0.0,2048,197196,1.0,1.0
