budget,status,converged,range_mode,mean_width,max_width,sign_certified_fraction,n_sign_certified,signs_match_exact,min_exact_margin,max_err_vs_exact,elapsed_s,delta1,realised_level,at_nominal_level,certificate_is_rigorous
2000,BUDGET_EXHAUSTED,False,finite_population,1.9947978939483293,2.657947112869369,0.0,0,1,,0.0026901772735192786,59.8,67.09741950656807,0.0,False,False
8000,BUDGET_EXHAUSTED,False,finite_population,0.578662469498632,0.785772852932582,0.0,0,1,,0.0010044199148135646,95.3,39.89030519048386,0.0,False,False
10000,BUDGET_EXHAUSTED,False,finite_population,0.474981202958574,0.6438649260049414,0.0,0,1,,0.0006077245334697619,98.4,34.96529672782873,0.0,False,False
30000,BUDGET_EXHAUSTED,False,finite_population,0.18300515939337647,0.2494562126502214,0.09090909090909091,1,1,0.007180544190215465,0.0006626264148160733,105.9,11.923632138083383,0.0,False,False
100000,BUDGET_EXHAUSTED,False,finite_population,0.06379209180037214,0.08822867470043252,0.09090909090909091,1,1,0.16840808214000433,0.000141655132887053,123.3,0.6030880108183508,0.37191198918164914,False,False
