K,gas_rmse,kernel_rmse,mc_rmse,gas_coalition_evals_actual,gas_model_evals_actual,kernel_model_evals_actual,mc_model_evals_actual,gas_wall_s,kernel_wall_s,mc_wall_s
128,0.004298790973982082,0.00505299363743382,0.043298551149319166,393.0,25025.0,8257.0,4673.0,7.2166829109191895,2.3600552082061768,1.3209819793701172
256,0.003518126874010806,0.0034945744766136334,0.046242380668878355,480.0,30593.0,16449.0,9346.0,8.69081711769104,4.540411710739136,2.5794239044189453
512,0.0030398482400782532,0.002124607253236809,0.0467026247905819,565.0,36033.0,32833.0,17858.0,10.62139081954956,9.641000986099243,5.2303626537323
1024,0.00197277639226401,0.0009337430795902111,0.04582050622248939,803.0,51265.0,65601.0,35398.0,15.08573603630066,18.970823287963867,10.224778890609741
2048,0.0013251480302136607,0.00014067962560014834,0.0456104376447978,1203.0,76865.0,131009.0,69456.0,22.59051203727722,38.40170693397522,20.596251010894775
