dataset,instance,cluster,K,status,converged,certificate_is_rigorous,certificate_at_nominal_level,realised_coverage_level,delta1_coupon,rmse_vs_exact,sim_cov,n_sign_certified,signs_match_exact,min_certified_margin,mean_width,max_width,unique_fraction_of_power_set,coalition_evals,unique_coalition_evals,attempted_stage2_draws,pow2_M,unique_vs_2M_ratio,elapsed_s
wine,0,0,200000,CERTIFIED,True,True,True,0.962003020415246,0.0129969795847538,8.110564708995393e-05,1.0,1,1,0.2070365180573917,0.0354984395017063,0.049600238783045,1.0,2048,2048,2048,2048,1.0,56.0
wine,1,1,200000,BUDGET_EXHAUSTED,False,True,True,0.963186856565558,0.0118131434344419,0.0001779047288249,1.0,3,1,0.0047868912408766,0.0514322264939141,0.0711259255969147,1.0,2048,2048,2048,2048,1.0,65.0
wine,2,0,200000,BUDGET_EXHAUSTED,False,True,True,0.9740504431222,0.0009495568778,0.0002655567189469,1.0,2,1,0.0066759016761296,0.069545434916939,0.0830950584997793,1.0,2048,2048,2048,2048,1.0,71.8
