K,gas_rmse,kernel_rmse,mc_rmse,gas_coalition_evals_actual,gas_model_evals_actual,kernel_model_evals_actual,mc_model_evals_actual,gas_wall_s,kernel_wall_s,mc_wall_s
128,0.004179208425785268,0.008571713051633293,0.03630827146424892,391.0,24897.0,8257.0,4673.0,7.535691976547241,2.450469970703125,1.3636112213134766
256,0.004333480769726134,0.006232613216390073,0.03725934434786275,478.0,30465.0,16449.0,9346.0,9.527093172073364,4.848205089569092,2.750295639038086
512,0.0031174101612227462,0.003710317986525222,0.03744440498203991,570.0,36353.0,32833.0,17858.0,10.68862509727478,9.581209659576416,5.224125146865845
1024,0.003136782661811198,0.0016081895072343495,0.035261188297628906,838.0,53505.0,65601.0,35398.0,17.518275260925293,21.196689128875732,11.529794692993164
2048,0.0020755035357025785,0.0002563526086926532,0.035580874115200806,1287.0,82241.0,131009.0,69456.0,26.79039192199707,42.16442012786865,22.513324975967407
