instance,cluster,tier1_uniform_rmse,tier1_evals,tier2_neyman_rmse,tier2_evals,tier3_gp_rmse,tier3_evals,tier4_full_rmse,tier4_evals
0,0,0.028966108023766403,388,0.0057863552426347265,396,0.07934111124096352,22,0.0012628598517227252,490
1,1,0.056244788484703136,412,0.01550947223033422,396,0.07015214627363951,22,0.004024230096604851,503
2,0,0.06784032539697334,412,0.0060232689680500134,396,0.09444609641238501,22,0.006022744940608852,514
