mode,rmse_mean,mean_width,sim_cov,sign_cert,delta1_mean,level_mean,R_eff_mean,gas_evals_mean
finite_population,0.0005917225401546606,0.939238471222021,1.0,0.0,59.1054299051156,0.0,0.4191205027665704,1449.6
spec,0.0005917225401546606,8.751616564720692,1.0,0.0,,,4.0,1449.6
