M,K,range_mode,status,converged,certificate_is_rigorous,certificate_at_nominal_level,realised_coverage_level,delta1_coupon,unique_coalition_evals,attempted_stage2_draws,pow2_M,unique_vs_2M_ratio,rmse_vs_exact,sim_cov,n_sign_certified,signs_match_exact,min_certified_margin,mean_width,max_width,model_evals,elapsed_s,game
30,50000,spec,BUDGET_EXHAUSTED,False,True,False,,,49696,49972,1073741824,4.628300666809082e-05,0.00525766007908977,1.0,0,1,,6.0613057592137505,6.961510994026202,49695,12.4,parity
30,100000,spec,BUDGET_EXHAUSTED,False,True,False,,,95623,99975,1073741824,8.90558585524559e-05,0.0032411481399788845,1.0,0,1,,3.2534016732192907,3.774117050178982,95622,29.7,parity
