M,K,range_mode,status,converged,certificate_is_rigorous,certificate_at_nominal_level,realised_coverage_level,delta1_coupon,unique_coalition_evals,attempted_stage2_draws,pow2_M,unique_vs_2M_ratio,rmse_vs_exact,sim_cov,n_sign_certified,signs_match_exact,min_certified_margin,mean_width,max_width,model_evals,elapsed_s,game
30,50000,spec,BUDGET_EXHAUSTED,False,True,False,,,49282,49972,1073741824,4.589743912220001e-05,0.0013161708969666953,1.0,0,1,,28.068686394777227,34.088914099730005,49281,3.4,unanimity
30,100000,spec,BUDGET_EXHAUSTED,False,True,False,,,94110,99975,1073741824,8.764676749706268e-05,0.0006947799884548386,1.0,0,1,,26.227587606742134,32.198422527575715,94109,6.7,unanimity
