K,gas_rmse,kernel_rmse,mc_rmse,gas_coalition_evals_actual,gas_model_evals_actual,kernel_model_evals_actual,mc_model_evals_actual,gas_wall_s,kernel_wall_s,mc_wall_s
128,0.004179208425785268,0.011076930886403276,0.03630827146424892,391.0,24897.0,8257.0,4673.0,7.145100831985474,2.348917007446289,1.3513619899749756
256,0.004333480769726134,0.007186670362195375,0.03725934434786275,478.0,30465.0,16449.0,9346.0,9.141146183013916,4.733607292175293,3.0751049518585205
512,0.0031174101612227462,0.003217799443363423,0.03744440498203991,570.0,36353.0,32833.0,17858.0,10.669591903686523,9.50558590888977,5.2070231437683105
1024,0.003136782661811198,0.0014705963277738575,0.035261188297628906,838.0,53505.0,65601.0,35398.0,15.352113008499146,18.957502126693726,10.086497068405151
2048,0.0020755035357025785,0.0002563526086926532,0.035580874115200806,1287.0,82241.0,131009.0,69456.0,23.963581800460815,36.987805128097534,19.698725938796997
