K,gas_rmse,kernel_rmse,mc_rmse,gas_coalition_evals_actual,gas_model_evals_actual,kernel_model_evals_actual,mc_model_evals_actual,gas_wall_s,kernel_wall_s,mc_wall_s
128,0.004298790973982082,0.00575521461465596,0.043298551149319166,393.0,25025.0,8257.0,4673.0,7.177198886871338,2.3894410133361816,1.328873872756958
256,0.003518126874010806,0.003290588166218327,0.046242380668878355,480.0,30593.0,16449.0,9346.0,8.903659105300903,4.761428117752075,2.781308174133301
512,0.0030398482400782532,0.001925456341887659,0.0467026247905819,565.0,36033.0,32833.0,17858.0,10.839221000671387,9.358947038650513,5.071913957595825
1024,0.00197277639226401,0.0009016306357365344,0.04582050622248939,803.0,51265.0,65601.0,35398.0,14.697525978088379,18.954434156417847,10.071983098983765
2048,0.0013251480302136607,0.00014067962560014834,0.0456104376447978,1203.0,76865.0,131009.0,69456.0,21.88987112045288,37.56878185272217,20.17572283744812
