dataset,instance,cluster,K,status,converged,certificate_is_rigorous,certificate_at_nominal_level,realised_coverage_level,delta1_coupon,rmse_vs_exact,sim_cov,n_sign_certified,signs_match_exact,min_certified_margin,mean_width,max_width,coalition_evals,elapsed_s
wine,0,0,200000,CERTIFIED,True,True,True,0.9620030204152461,0.012996979584753833,8.110564708995393e-05,1.0,1,1,0.20703651805739176,0.03549843950170639,0.04960023878304509,2048,56.0
wine,1,1,200000,BUDGET_EXHAUSTED,False,True,True,0.963186856565558,0.011813143434441988,0.00017790472882494042,1.0,3,1,0.004786891240876612,0.051432226493914185,0.07112592559691472,2048,65.0
wine,2,0,200000,BUDGET_EXHAUSTED,False,True,True,0.9740504431221999,0.0009495568778000786,0.0002655567189469386,1.0,2,1,0.006675901676129636,0.06954543491693904,0.08309505849977933,2048,71.8
