budget,mean_width,sign_certified_fraction,converged_fraction,status_counts
500,inf,0.0,0.0,{'BUDGET_EXHAUSTED': 5}
1000,24.474688856054907,0.0,0.0,{'BUDGET_EXHAUSTED': 5}
2000,12.96320592007076,0.0,0.0,{'BUDGET_EXHAUSTED': 5}
4000,7.101029649625183,0.0,0.0,{'BUDGET_EXHAUSTED': 5}
8000,3.8988634517710223,0.0,0.0,{'BUDGET_EXHAUSTED': 5}
