regime,rmse_mean,spearman_mean,n
clean_air,0.002509687122220345,0.22790669892443738,5
clean_air_2,0.0026141061705483143,-0.11583687589961075,5
photochemical,0.0020590885557034214,0.41806619914401777,5
winter_smog,0.0010141995053482785,0.558572746734763,5
