phi_exact,phi_gas,W_gas,kernel_phi,mc_phi,exact_evals,gas_evals,kernel_evals,mc_evals,rmse_gas,mae_gas,rmse_kernel,rmse_mc,sim_cov,mar_cov,sign_cert,mean_width,max_width,status,converged,instance,cluster
"[-3.10792099e-02 -1.19640739e-02 -4.28634901e-02  1.62609726e-03
 -2.77491643e-02 -7.53394920e-04 -1.83927766e-02 -3.08157891e-03
 -7.58171463e-03  4.82805241e-08  1.00900395e-03]","[-3.12600552e-02 -1.26782411e-02 -4.35398708e-02  1.54978504e-03
 -2.73253920e-02 -7.47415732e-04 -1.78436207e-02 -2.91157401e-03
 -7.94744024e-03  5.88254401e-05  1.81474547e-03]","[12.42640494  9.76400706  9.12158276  7.5274794  10.26426751  7.58326253
 10.20510008  7.47445125  9.89427677 10.2959883  12.25767955]","[-0.03177669 -0.01143099 -0.04078477  0.00274826 -0.02971841  0.
 -0.017962   -0.00882268 -0.00725267  0.00292431  0.00124539]","[-1.74481599e-02 -6.59621693e-03 -2.40302550e-02  1.20856112e-03
 -1.44410683e-02 -4.46198835e-04 -1.10752842e-02 -2.20982582e-03
 -4.61238569e-03  4.05096748e-08  3.56365909e-04]",2048,1319,256,1613,0.0004575206112622555,0.00036607836016272813,0.0021879384398236505,0.008582396267400923,1.0,1.0,0.0,9.710409104336327,12.426404939561055,BUDGET_EXHAUSTED,False,16,0
"[-1.55785340e-03 -1.33388433e-03 -1.98894284e-03 -6.52082169e-02
  8.13226094e-04 -1.35465730e-01 -2.95119549e-02  2.06117927e-02
  1.05137790e-02  8.49752629e-09 -4.64768521e-02]","[-0.00201449 -0.00280097 -0.00291843 -0.06136635 -0.00048096 -0.13564981
 -0.02906376  0.01944866  0.0100759  -0.00052269 -0.04431172]","[ 6.85540017 10.53732211  8.69563536  6.87570583  9.6764599   8.66411785
 11.61914471  9.38874858  9.16373261  6.80757221  9.25572138]","[-0.00548943 -0.00423243  0.00193964 -0.06456121  0.00201162 -0.1343123
 -0.03240544  0.02340096  0.00901343  0.         -0.04496947]","[-1.73679936e-03 -1.33315656e-03 -1.07846822e-03 -4.19488573e-02
  4.91143204e-04 -8.20354213e-02 -1.87042484e-02  1.53802976e-02
  7.09051147e-03  4.25144288e-09 -2.76644152e-02]",2048,1411,256,1632,0.0015491949435902954,0.001173671229304429,0.002396070459262483,0.018845211707836495,1.0,1.0,0.0,8.86723279052784,11.619144709467063,BUDGET_EXHAUSTED,False,17,1
"[-3.09444970e-03 -8.33941248e-03  7.56079460e-03 -4.25483578e-02
  6.40847834e-04 -4.40013405e-02 -1.69535390e-02 -5.88479934e-02
 -1.49020830e-01 -7.08696119e-06 -6.16939964e-02]","[-0.00324638 -0.00915854  0.008128   -0.0436722   0.00021986 -0.04681727
 -0.0142953  -0.06020492 -0.14081077 -0.00040061 -0.06604724]","[ 8.68187948  8.34700619  8.3653742   6.87943433  9.2855522  10.92966937
  9.31082506 10.35020688  9.34644464  9.04844089  6.80248817]","[ 0.          0.00553781 -0.01201948 -0.04910367 -0.00819633 -0.03256778
 -0.00431757 -0.05162934 -0.16620094 -0.00477553 -0.05303253]","[-1.87734151e-03 -4.88757870e-03  5.24269069e-03 -2.27461670e-02
  1.04683077e-03 -2.51609376e-02 -8.04927285e-03 -3.51589330e-02
 -9.27189600e-02 -2.32917699e-06 -3.04386158e-02]",2048,1460,256,1532,0.0031013716359633322,0.0020791824990730474,0.011449598150518698,0.02246872451957441,1.0,1.0,0.0,8.849756490304408,10.929669370913718,BUDGET_EXHAUSTED,False,18,2
"[ 0.03262975  0.05002473  0.01951737  0.03417406  0.02179862 -0.00708279
  0.16219961  0.08681774  0.26615599  0.          0.03750158]","[ 0.03365341  0.04889938  0.01950285  0.03827174  0.02121505 -0.00678154
  0.15871812  0.08650011  0.26319611  0.00097029  0.03959112]","[ 8.98475168 10.15184698 10.06866713  9.64023095  7.43007373 12.11098276
  9.80760975  7.25750211  9.04077934  9.85131435 10.09627727]","[ 0.02181448  0.05004392  0.02930175  0.03749747  0.02628604 -0.01195733
  0.15686778  0.07759548  0.28369872  0.          0.03258833]","[ 0.01894469  0.03150489  0.01211468  0.02104458  0.01193274 -0.00475487
  0.07888279  0.04779276  0.12223398  0.          0.01758104]",2048,1500,256,1539,0.0020410999524172954,0.0015422605449241851,0.008051051928786244,0.05260074193045969,1.0,1.0,0.0,9.49454873194213,12.110982761745463,BUDGET_EXHAUSTED,False,19,3
"[-4.95663974e-02 -6.30120057e-02 -1.91096695e-02 -3.53066215e-02
 -4.50706191e-02 -1.35827814e-03  7.03756414e-03  4.41211399e-04
  4.02525171e-03 -1.50396475e-25 -8.83116679e-03]","[-5.01328491e-02 -6.46618927e-02 -1.84041594e-02 -3.49967946e-02
 -4.41138667e-02 -1.18947306e-03  6.69959263e-03  1.15777040e-04
  4.05552404e-03  3.61918775e-05 -8.15878091e-03]","[ 6.75025793  6.66090519  6.60664074  8.66186315  8.98643914  8.70280079
 10.47768736  8.50607544 10.71608297  6.6719344  11.24802673]","[-0.04292177 -0.07023688 -0.01475933 -0.03193474 -0.04597803 -0.00062659
  0.00462306 -0.00773214  0.00168699  0.         -0.00287129]","[-3.23497385e-02 -3.50702130e-02 -1.12310224e-02 -2.10777651e-02
 -2.63334236e-02 -6.16709998e-04  5.15141282e-03  4.67255699e-04
  2.32436393e-03 -1.98523347e-26 -5.52802025e-03]",2048,1462,256,1649,0.0006911823465033068,0.0005235899192687452,0.004686777951289862,0.012470638315041813,1.0,1.0,0.0,8.544428530204955,11.248026728026659,BUDGET_EXHAUSTED,False,20,0
"[-9.31297640e-03 -4.49149647e-04  4.74575957e-03 -2.21362431e-02
  6.23709008e-03  5.39434289e-01  9.43752224e-02  5.48050885e-02
  3.19049045e-02 -1.96949328e-05 -2.44400958e-02]","[-0.01023494 -0.00128058  0.00488444 -0.02168424  0.0073915   0.53884638
  0.09321135  0.0580834   0.03315873 -0.00054792 -0.02668391]","[ 6.77954271  9.41405057  6.88138173  6.76446997  8.32947449 10.72052163
  6.80065243  9.13045661 11.08999096 11.7759895   9.31781689]","[-0.01284745  0.00505624  0.         -0.02125114  0.00240906  0.53901204
  0.09137064  0.0572296   0.03828533  0.00195769 -0.02607783]","[-6.30896644e-03  5.26831406e-04  2.01434799e-03 -1.70157070e-02
  2.49455667e-03  2.43314814e-01  5.97814409e-02  3.18887004e-02
  2.28128011e-02 -1.57119781e-05 -1.57488193e-02]",2048,1467,256,1677,0.0014279953127694623,0.0011413134468235447,0.0036074100452114857,0.09026451138392017,1.0,1.0,0.0,8.818577043984773,11.775989496703005,BUDGET_EXHAUSTED,False,21,1
"[3.10389025e-02 3.19931917e-02 2.49871440e-02 6.58199045e-02
 3.57510621e-02 1.40200591e-01 5.52875524e-02 4.70606477e-02
 1.24854373e-01 9.01857940e-07 2.90062645e-02]","[ 0.0303302   0.03096995  0.02501644  0.0656187   0.03543902  0.14002745
  0.0552099   0.04760018  0.1270731  -0.00076834  0.02948393]","[ 9.78997987  7.30547342  9.84613744 11.31406169  7.27772975  9.81225425
  9.75970592  9.97477053  9.55420189  9.61589343  8.84856113]","[0.03318776 0.03301126 0.0270333  0.0661244  0.03541278 0.14046957
 0.04904288 0.04873789 0.1266129  0.         0.0263678 ]","[1.68883349e-02 1.86679073e-02 1.24747960e-02 3.94720283e-02
 2.17367263e-02 7.72887983e-02 3.24422179e-02 3.13686667e-02
 7.36624429e-02 6.25551938e-07 1.64620400e-02]",2048,1432,256,1691,0.0008397921661930283,0.0005936779734843281,0.0023737833967714356,0.02849080443767425,1.0,1.0,0.0,9.372615392607072,11.31406168895812,BUDGET_EXHAUSTED,False,22,2
"[5.21113857e-02 7.96051134e-02 1.51351422e-02 4.99522653e-02
 4.04485821e-02 2.44455995e-02 1.32191021e-01 1.23560397e-01
 2.26866310e-01 1.92549641e-05 2.07431092e-02]","[ 0.04998378  0.07940573  0.01565956  0.0461067   0.04029226  0.02448377
  0.13343213  0.12127373  0.2365317  -0.00052729  0.01843611]","[ 7.02030222  9.26198376  8.54235923  8.64172133 11.12331132 11.64985573
  8.581257    6.99592405  7.05229127  9.71142412 11.21632355]","[0.05358467 0.07770172 0.         0.03809808 0.0135234  0.01803067
 0.12882478 0.11177307 0.24310213 0.03980166 0.040638  ]","[3.41459888e-02 4.86994663e-02 7.88835412e-03 2.99540790e-02
 2.49987162e-02 8.70433026e-03 8.99560029e-02 7.29380667e-02
 1.46845535e-01 5.79874914e-06 1.39042910e-02]",2048,1426,256,1654,0.0033772719511899283,0.0020852893587033944,0.01792363908436511,0.03439523609301061,1.0,1.0,0.0,9.072432142364791,11.649855727767854,BUDGET_EXHAUSTED,False,23,3
"[-5.14540578e-02 -7.30735087e-03 -2.40771413e-02  8.81377998e-03
 -5.14597077e-02  4.08765781e-04  2.20497620e-03 -1.42190463e-03
  7.25979204e-03 -7.68175005e-06  5.68643870e-04]","[-5.10672536e-02 -7.67797904e-03 -2.44473246e-02  7.91648862e-03
 -5.00525008e-02  3.29516379e-05  1.93970142e-03 -7.70549233e-04
  7.17042805e-03 -3.13519153e-04  7.97670440e-04]","[ 8.50045032  7.16059938 12.07644582  7.32641569  9.26386857 12.14450209
  9.62255414  6.96614179  9.35665313 10.7479085   9.06967862]","[-0.05151787 -0.00883547 -0.02380717  0.00890835 -0.05096787  0.
  0.00116616 -0.00243846  0.00773691  0.00116479  0.00211875]","[-2.56192662e-02 -3.16072608e-03 -1.20934335e-02  7.00964360e-03
 -2.45015680e-02  3.07709144e-04  1.37164049e-03 -8.78265495e-04
  4.34454433e-03 -8.16040765e-07  3.73720791e-04]",2048,1389,256,1563,0.0006029644999821185,0.0004862532992062213,0.0009019029310224668,0.011938377101252652,1.0,1.0,0.0,9.294110732898242,12.144502087208604,BUDGET_EXHAUSTED,False,24,0
"[ 4.33288904e-03  2.22853704e-02 -6.75615035e-03 -1.32353858e-02
  1.63930965e-02 -6.80634708e-02 -9.54335044e-02 -5.34859901e-03
 -1.02070253e-01  3.47332318e-06  1.44138518e-01]","[ 0.0047714   0.02313995 -0.00595837 -0.01527346  0.01629949 -0.0705458
 -0.09055693 -0.00431385 -0.10369981  0.00071787  0.14166548]","[ 9.40657822 13.3878299  13.34419566 12.20158781 10.17906983 16.63306421
 14.5496394   9.62115679 12.17884561 12.46674818 13.04263895]","[ 0.01516829  0.01547645 -0.00523461 -0.01107809  0.01595047 -0.0733773
 -0.07806832 -0.00943378 -0.10956366  0.          0.13640655]","[ 3.42286063e-03  6.39514308e-03 -6.89990361e-04 -1.55531982e-03
  6.64683822e-03 -2.71977209e-02 -3.00027130e-02  1.24514876e-03
 -3.31906860e-02  2.18621263e-06  7.95635879e-02]",2048,1335,256,1639,0.0020453265809002082,0.0015848363064819267,0.007587920000490276,0.03745364527994753,1.0,1.0,0.0,12.455577687390877,16.633064209007745,BUDGET_EXHAUSTED,False,25,1
