dataset,instance,unique_cap,gas_rmse,shaplEIG_rmse,gas_unique_evals,gas_unique_coalitions,gas_coalition_eval_calls,gas_model_evals,shaplEIG_unique_queries,shaplEIG_unique_coalitions,shaplEIG_model_evals,gas_attempted_draws,gas_wall_s,shaplEIG_wall_s,cap_honored,unique_matched,fixed_cost,source
wine,8,1024,0.004204955651627568,7.072837480996662e-05,712,712,1023,45441,1024,1024,65473,1023,13.0,1511.4,True,True,315,"slds-lmu/shapleig@d52c09e (MIT) — pure-NumPy/SciPy port of the official algorithm (_compute_eig_function_property_naive_Z + _get_shapley_weights); same math, no torch (macOS crash-free)"
wine,9,512,0.005151926295721416,0.00015009666870293646,405,405,510,25793,512,512,32705,510,7.5,257.6,True,True,306,"slds-lmu/shapleig@d52c09e (MIT) — pure-NumPy/SciPy port of the official algorithm (_compute_eig_function_property_naive_Z + _get_shapley_weights); same math, no torch (macOS crash-free)"
wine,9,1024,0.0032325410025455617,7.146851143172493e-05,633,633,1014,40385,1024,1024,65473,1014,11.6,1788.2,True,False,306,"slds-lmu/shapleig@d52c09e (MIT) — pure-NumPy/SciPy port of the official algorithm (_compute_eig_function_property_naive_Z + _get_shapley_weights); same math, no torch (macOS crash-free)"
air,0,512,0.0016014362148909884,0.0002277602901536583,473,473,502,30145,512,512,32705,502,9.0,351.7,True,True,310,"slds-lmu/shapleig@d52c09e (MIT) — pure-NumPy/SciPy port of the official algorithm (_compute_eig_function_property_naive_Z + _get_shapley_weights); same math, no torch (macOS crash-free)"
air,0,1024,0.0014667741968249716,0.00013241813320158882,739,739,1018,47169,1024,1024,65473,1018,13.9,2043.1,True,True,310,"slds-lmu/shapleig@d52c09e (MIT) — pure-NumPy/SciPy port of the official algorithm (_compute_eig_function_property_naive_Z + _get_shapley_weights); same math, no torch (macOS crash-free)"
air,1,512,0.002671209654222165,0.0001536703755414544,415,415,512,26433,512,512,32705,512,8.0,255.7,True,True,308,"slds-lmu/shapleig@d52c09e (MIT) — pure-NumPy/SciPy port of the official algorithm (_compute_eig_function_property_naive_Z + _get_shapley_weights); same math, no torch (macOS crash-free)"
air,1,1024,0.002456913892729732,0.00018456352748612493,591,591,1016,37697,1024,1024,65473,1016,11.3,1603.8,True,False,308,"slds-lmu/shapleig@d52c09e (MIT) — pure-NumPy/SciPy port of the official algorithm (_compute_eig_function_property_naive_Z + _get_shapley_weights); same math, no torch (macOS crash-free)"
air,2,512,0.0061243785170683246,0.0004671512993732681,420,420,501,26753,512,512,32705,501,8.0,263.2,True,True,309,"slds-lmu/shapleig@d52c09e (MIT) — pure-NumPy/SciPy port of the official algorithm (_compute_eig_function_property_naive_Z + _get_shapley_weights); same math, no torch (macOS crash-free)"
air,2,1024,0.004075123343583004,0.00029812642526026446,669,669,1017,42689,1024,1024,65473,1017,12.7,1441.3,True,True,309,"slds-lmu/shapleig@d52c09e (MIT) — pure-NumPy/SciPy port of the official algorithm (_compute_eig_function_property_naive_Z + _get_shapley_weights); same math, no torch (macOS crash-free)"
air,3,512,0.0036285172888448707,0.0001925274686371666,417,417,510,26561,512,512,32705,510,7.8,264.2,True,True,294,"slds-lmu/shapleig@d52c09e (MIT) — pure-NumPy/SciPy port of the official algorithm (_compute_eig_function_property_naive_Z + _get_shapley_weights); same math, no torch (macOS crash-free)"
air,3,1024,0.0029604727745035316,0.00017385523122736914,677,677,1014,43201,1024,1024,65473,1014,12.7,1584.7,True,True,294,"slds-lmu/shapleig@d52c09e (MIT) — pure-NumPy/SciPy port of the official algorithm (_compute_eig_function_property_naive_Z + _get_shapley_weights); same math, no torch (macOS crash-free)"
air,4,512,0.0021789290589340903,0.0023701778043634923,418,418,501,26625,512,512,32705,501,7.9,316.9,True,True,297,"slds-lmu/shapleig@d52c09e (MIT) — pure-NumPy/SciPy port of the official algorithm (_compute_eig_function_property_naive_Z + _get_shapley_weights); same math, no torch (macOS crash-free)"
air,4,1024,0.0018990231276185276,0.001997041990457382,651,651,1017,41537,1024,1024,65473,1017,12.5,1941.3,True,False,297,"slds-lmu/shapleig@d52c09e (MIT) — pure-NumPy/SciPy port of the official algorithm (_compute_eig_function_property_naive_Z + _get_shapley_weights); same math, no torch (macOS crash-free)"
air,5,512,0.006836257845707002,0.0008505715873665389,449,449,501,28609,512,512,32705,501,8.5,275.1,True,True,309,"slds-lmu/shapleig@d52c09e (MIT) — pure-NumPy/SciPy port of the official algorithm (_compute_eig_function_property_naive_Z + _get_shapley_weights); same math, no torch (macOS crash-free)"
air,5,1024,0.0045551865191585635,0.00036740352454949735,689,689,1017,43969,1024,1024,65473,1017,13.0,1489.4,True,True,309,"slds-lmu/shapleig@d52c09e (MIT) — pure-NumPy/SciPy port of the official algorithm (_compute_eig_function_property_naive_Z + _get_shapley_weights); same math, no torch (macOS crash-free)"
air,6,512,0.005851640793368267,0.002870218441474405,432,432,512,27521,512,512,32705,512,8.0,247.7,True,True,308,"slds-lmu/shapleig@d52c09e (MIT) — pure-NumPy/SciPy port of the official algorithm (_compute_eig_function_property_naive_Z + _get_shapley_weights); same math, no torch (macOS crash-free)"
air,6,1024,0.004884992552962147,0.00034873985014597205,664,664,1016,42369,1024,1024,65473,1016,12.6,3708.5,True,False,308,"slds-lmu/shapleig@d52c09e (MIT) — pure-NumPy/SciPy port of the official algorithm (_compute_eig_function_property_naive_Z + _get_shapley_weights); same math, no torch (macOS crash-free)"
air,7,512,0.003620614588306125,0.0043744028370211055,444,444,508,28289,512,512,32705,508,8.9,294.1,True,True,304,"slds-lmu/shapleig@d52c09e (MIT) — pure-NumPy/SciPy port of the official algorithm (_compute_eig_function_property_naive_Z + _get_shapley_weights); same math, no torch (macOS crash-free)"
air,7,1024,0.00349157652838842,0.0030101066565287704,647,647,1024,41281,1024,1024,65473,1024,12.9,92298.7,True,False,304,"slds-lmu/shapleig@d52c09e (MIT) — pure-NumPy/SciPy port of the official algorithm (_compute_eig_function_property_naive_Z + _get_shapley_weights); same math, no torch (macOS crash-free)"
air,8,512,0.00419215257208177,0.0054794505020529126,463,463,507,29505,512,512,32705,507,9.2,25569.9,True,True,315,"slds-lmu/shapleig@d52c09e (MIT) — pure-NumPy/SciPy port of the official algorithm (_compute_eig_function_property_naive_Z + _get_shapley_weights); same math, no torch (macOS crash-free)"
air,8,1024,0.003942749274145886,0.0030252597023155353,708,708,1023,45185,1024,1024,65473,1023,1521.4,1800.7,True,True,315,"slds-lmu/shapleig@d52c09e (MIT) — pure-NumPy/SciPy port of the official algorithm (_compute_eig_function_property_naive_Z + _get_shapley_weights); same math, no torch (macOS crash-free)"
air,9,512,0.002681029248858298,0.00031262750009747233,398,398,510,25345,512,512,32705,510,8.2,316.8,True,True,306,"slds-lmu/shapleig@d52c09e (MIT) — pure-NumPy/SciPy port of the official algorithm (_compute_eig_function_property_naive_Z + _get_shapley_weights); same math, no torch (macOS crash-free)"
air,9,1024,0.001818674034711844,8.89955672336214e-05,618,618,1014,39425,1024,1024,65473,1014,2284.2,3670.6,True,False,306,"slds-lmu/shapleig@d52c09e (MIT) — pure-NumPy/SciPy port of the official algorithm (_compute_eig_function_property_naive_Z + _get_shapley_weights); same math, no torch (macOS crash-free)"
