M,K,range_mode,status,converged,certificate_is_rigorous,certificate_at_nominal_level,realised_coverage_level,delta1_coupon,unique_coalition_evals,attempted_stage2_draws,pow2_M,unique_vs_2M_ratio,rmse_vs_exact,sim_cov,n_sign_certified,signs_match_exact,min_certified_margin,mean_width,max_width,model_evals,elapsed_s,game
30,50000,spec,BUDGET_EXHAUSTED,False,True,False,,,49910,49972,1073741824,4.648230969905853e-05,0.0018809386103426228,1.0,0,1,,10.496754455004835,12.093654140734447,49909,3.2,threshold
30,100000,spec,BUDGET_EXHAUSTED,False,True,False,,,96410,99975,1073741824,8.978880941867828e-05,0.0013163436001932425,1.0,0,1,,5.458673445762724,6.301073288418953,96409,6.3,threshold
