,rmse,mae,max_err,coalition_evals,model_evals,simultaneous_coverage,marginal_coverage
GAS-BayesSHAP (certified),0.008175565220230982,0.0047002182111090755,0.023605198383323478,1062.0,67841.0,1.0,1.0
KernelSHAP,0.004760702563884688,0.0038778771626434617,0.00838203407624815,128,8192,-,-
SamplingSHAP (MC),0.06753378537831625,0.03804494942479972,0.1809926134482905,1045,66187,-,-
Exact (ground truth),0.0,0.0,0.0,2048,197196,1.0,1.0
